step,time,pv1_input_current_sum,pv1_input_current_avg,4000100388 output_source_priority,4000100388 charger_source_priority,4000100388 input_voltage_range,4000100388 ac_output_voltage,4000100388 ac_output_frequency,4000100388 max_ac_charging_current,4000100388 ac_input_current,4000100388 battery_charging_current,4000100388 ac_input_active_power,4000100388 ac_output_active_power,4000100388 pv1_input_current,4000100388 mode,4000100388 fault_mode,4000100237 output_source_priority,4000100237 charger_source_priority,4000100237 input_voltage_range,4000100237 ac_output_voltage,4000100237 ac_output_frequency,4000100237 max_ac_charging_current,4000100237 ac_input_current,4000100237 battery_charging_current,4000100237 ac_input_active_power,4000100237 ac_output_active_power,4000100237 pv1_input_current,4000100237 mode,4000100237 fault_mode
10,2024-04-23T14:42:40.572385,0.0,0.0,solar_utility_bat,solar_utility,ups,258.2,44.9,30,25.7,25,6639,5206,0.0,L,48,solar_utility_bat,solar_utility,ups,258.4,45.0,30,25.3,21,6551,5291,0.0,L,48
11,2024-04-23T14:42:43.846848,0.0,0.0,solar_utility_bat,solar_utility,ups,258.2,44.9,30,25.7,25,6639,5206,0.0,B,48,solar_utility_bat,solar_utility,ups,258.2,44.9,30,26.2,25,6766,5351,0.0,L,48
11,2024-04-23T14:42:45.356552,0.0,0.0,solar_utility_bat,solar_utility,ups,229.7,45.7,30,0.0,0,0,4182,0.0,B,48,solar_utility_bat,solar_utility,ups,229.6,48.2,30,26.2,0,6766,4167,0.0,B,48
11,2024-04-23T14:42:47.205032,0.0,0.0,solar_utility_bat,solar_utility,ups,229.7,45.7,30,0.0,0,0,4182,0.0,B,48,solar_utility_bat,solar_utility,ups,229.6,48.2,30,0.0,0,0,4167,0.0,B,48
11,2024-04-23T14:42:49.017036,0.0,0.0,solar_utility_bat,solar_utility,ups,229.7,45.7,30,0.0,0,0,4182,0.0,B,48,solar_utility_bat,solar_utility,ups,229.6,48.2,30,0.0,0,0,4167,0.0,B,48
11,2024-04-23T14:42:50.563636,0.0,0.0,solar_utility_bat,solar_utility,appliance,229.7,45.7,30,0.0,0,0,4182,0.0,B,48,solar_utility_bat,solar_utility,ups,229.6,48.2,30,0.0,0,0,4167,0.0,B,48
11,2024-04-23T14:42:52.472441,0.0,0.0,solar_utility_bat,solar_utility,appliance,229.7,54.9,30,0.0,0,0,4150,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.6,48.2,30,0.0,0,0,4167,0.0,B,48
12,2024-04-23T14:42:55.558188,0.0,0.0,solar_utility_bat,solar_utility,appliance,229.7,54.9,30,0.0,0,0,4150,0.0,L,48,solar_utility_bat,solar_utility,appliance,230.3,55.0,30,20.3,0,5271,4141,0.0,B,48
12,2024-04-23T14:42:57.185106,0.0,0.0,solar_utility_bat,solar_utility,appliance,258.0,54.9,30,19.6,0,4876,5274,0.0,L,48,solar_utility_bat,solar_utility,appliance,230.3,55.0,30,20.3,0,5271,4141,0.0,L,48
12,2024-04-23T14:42:58.710757,0.0,0.0,solar_utility_bat,solar_utility,appliance,258.0,54.9,30,19.6,0,4876,5274,0.0,L,48,solar_utility_bat,solar_utility,appliance,249.0,54.9,30,19.5,0,4868,4887,0.0,L,48
12,2024-04-23T14:43:00.458018,0.0,0.0,solar_utility_bat,solar_utility,appliance,247.9,54.9,30,19.7,0,4890,4887,0.0,L,48,solar_utility_bat,solar_utility,appliance,249.0,54.9,30,19.5,0,4868,4887,0.0,L,48
12,2024-04-23T14:43:02.078426,0.0,0.0,solar_utility_bat,solar_utility,appliance,247.9,54.9,30,19.7,0,4890,4887,0.0,L,48,solar_utility_bat,solar_utility,appliance,248.9,54.9,30,19.5,0,4868,4895,0.0,L,48
